"Includes Amazon Marketplace, Fulfilment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in GBP, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, delivery, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes delivery chargebacks, delivery holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfilment","order city","order state","order postal","tax collection model","product sales","product sales tax","postage credits","shipping credits tax","gift wrap credits","giftwrap credits tax","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"7 Mar 2025 02:20:43 UTC","24332545332","FBA Inventory Fee","","","FBA storage fee","","Amazon.co.uk","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-8.54","-8.54"
"7 Mar 2025 19:47:24 UTC","24332545332","Transfer","","","To account ending with: 546","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-11.50","-11.50"
"7 Mar 2025 23:50:58 UTC","24332545332","Order","202-5935038-9902733","LZ-1BCI-EQUM","Resin Epoxy, 1064ml/36oz Crystal Clear Art Resin & Hardener Heat Resistant Resin for Coasters & Art Resin - Food Safe, Self Leveling with High Gloss,","1","amazon.co.uk","Amazon","HENLEY ON THAMES","Oxon","RG9 1","MarketplaceFacilitator","12.16","2.43","0","0","0","0","0","0","-2.43","-1.90","-3.15","-0.10","0","7.01"
"12 Mar 2025 06:06:20 UTC","24332545332","Service Fee","","","Subscription","","Amazon.co.uk","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-7.92","-7.92"
"13 Mar 2025 18:53:12 UTC","24332545332","Order","204-6143266-5841157","LZ-1BCI-EQUM","Resin Epoxy, 1064ml/36oz Crystal Clear Art Resin & Hardener Heat Resistant Resin for Coasters & Art Resin - Food Safe, Self Leveling with High Gloss,","1","amazon.co.uk","Amazon","WIRRAL","","CH48 3","MarketplaceFacilitator","12.16","2.43","0","0","0","0","0","0","-2.43","-1.90","-3.15","-0.10","0","7.01"
"14 Mar 2025 22:03:38 UTC","24332545332","Order","203-8508399-1315509","LZ-1BCI-EQUM","Resin Epoxy, 1064ml/36oz Crystal Clear Art Resin & Hardener Heat Resistant Resin for Coasters & Art Resin - Food Safe, Self Leveling with High Gloss,","1","amazon.co.uk","Amazon","Camberwell","London","SE5 8","MarketplaceFacilitator","12.16","2.43","0","0","0","0","0","0","-2.43","-1.90","-3.15","-0.10","0","7.01"
"18 Mar 2025 23:44:11 UTC","24332545332","Order","203-8507884-4351555","LZ-1BCI-EQUM","Resin Epoxy, 1064ml/36oz Crystal Clear Art Resin & Hardener Heat Resistant Resin for Coasters & Art Resin - Food Safe, Self Leveling with High Gloss,","1","amazon.co.uk","Amazon","Camberwell","London","SE5 8","MarketplaceFacilitator","11.82","2.37","0","0","0","0","0","0","-2.37","-1.84","-3.15","-0.10","0","6.73"
"20 Mar 2025 20:08:03 UTC","24332545332","Order","202-8002859-9207524","LZ-1BCI-EQUM","Resin Epoxy, 1064ml/36oz Crystal Clear Art Resin & Hardener Heat Resistant Resin for Coasters & Art Resin - Food Safe, Self Leveling with High Gloss,","1","amazon.co.uk","Amazon","Addlestone","Surrey","KT15 1","MarketplaceFacilitator","11.82","2.37","0","0","0","0","0","0","-2.37","-1.84","-3.15","-0.10","0","6.73"
"20 Mar 2025 20:31:28 UTC","24332545332","Order","206-5646415-4485901","LZ-1BCI-EQUM","Resin Epoxy, 1064ml/36oz Crystal Clear Art Resin & Hardener Heat Resistant Resin for Coasters & Art Resin - Food Safe, Self Leveling with High Gloss,","1","amazon.co.uk","Amazon","BEDFORD","","MK42 7","MarketplaceFacilitator","11.82","2.37","0","0","0","0","0","0","-2.37","-1.84","-3.15","-0.10","0","6.73"
"21 Mar 2025 19:45:30 UTC","24414303322","Transfer","","","To account ending with: 546","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-24.76","-24.76"
"22 Mar 2025 19:51:47 UTC","24414303322","Order","205-7322129-0865912","LZ-1BCI-EQUM","Resin Epoxy, 1064ml/36oz Crystal Clear Art Resin & Hardener Heat Resistant Resin for Coasters & Art Resin - Food Safe, Self Leveling with High Gloss,","1","amazon.co.uk","Amazon","BARNET","","EN4 8","MarketplaceFacilitator","11.82","2.37","0","0","0","0","0","0","-2.37","-1.84","-3.15","-0.10","0","6.73"
"22 Mar 2025 21:56:16 UTC","24414303322","FBA Inventory Fee","","","FBA Long-Term Storage Fee","","Amazon.co.uk","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-12.25","-12.25"
"23 Mar 2025 20:56:43 UTC","24414303322","Order","204-1053988-6027512","LZ-1BCI-EQUM","Resin Epoxy, 1064ml/36oz Crystal Clear Art Resin & Hardener Heat Resistant Resin for Coasters & Art Resin - Food Safe, Self Leveling with High Gloss,","1","amazon.co.uk","Amazon","Snodland","kent","ME6 5","MarketplaceFacilitator","11.82","2.37","0","0","0","0","0","0","-2.37","-1.84","-3.15","-0.10","0","6.73"
"26 Mar 2025 19:15:59 UTC","24414303322","Service Fee","042890f1-fc8c-4742-afd4-4dcbe4db16b1","","Coupon Redemption Fee: Save 10% on epoxy resin","1","Amazon.co.uk","","","","","","0","0","0","0","0","0","0","0","0","0","0","-0.45","0","-0.45"
"27 Mar 2025 21:01:33 UTC","24414303322","Order","206-3201456-9267550","LZ-1BCI-EQUM","Resin Epoxy, 1064ml/36oz Crystal Clear Art Resin & Hardener Heat Resistant Resin for Coasters & Art Resin - Food Safe, Self Leveling with High Gloss,","1","amazon.co.uk","Amazon","kinloss","Morayshire","IV36 3","MarketplaceFacilitator","11.82","2.37","0","0","0","0","0","0","-2.37","-1.84","-3.15","-0.10","0","6.73"
"30 Mar 2025 18:45:10 UTC","24414303322","Order","203-9665754-6839547","LZ-1BCI-EQUM","Resin Epoxy, 1064ml/36oz Crystal Clear Art Resin & Hardener Heat Resistant Resin for Coasters & Art Resin - Food Safe, Self Leveling with High Gloss,","1","amazon.co.uk","Amazon","Lichfield","","WS138","MarketplaceFacilitator","11.82","2.37","0","0","0","0","0","0","-2.37","-1.84","-3.15","-0.10","0","6.73"
"30 Mar 2025 19:15:58 UTC","24414303322","Service Fee","042890f1-fc8c-4742-afd4-4dcbe4db16b1","","Coupon Redemption Fee: Save 10% on epoxy resin","1","Amazon.co.uk","","","","","","0","0","0","0","0","0","0","0","0","0","0","-0.45","0","-0.45"
"31 Mar 2025 22:16:53 UTC","24414303322","Order","206-9130928-0573145","LZ-1BCI-EQUM","Resin Epoxy, 1064ml/36oz Crystal Clear Art Resin & Hardener Heat Resistant Resin for Coasters & Art Resin - Food Safe, Self Leveling with High Gloss,","1","amazon.co.uk","Amazon","LONDON","","E1 7","MarketplaceFacilitator","11.82","2.37","0","0","0","0","0","0","-2.37","-1.84","-3.15","-0.10","0","6.73"
"31 Mar 2025 22:39:18 UTC","24414303322","Order","026-9831099-7853965","LZ-1BCI-EQUM","Resin Epoxy, 1064ml/36oz Crystal Clear Art Resin & Hardener Heat Resistant Resin for Coasters & Art Resin - Food Safe, Self Leveling with High Gloss,","1","amazon.co.uk","Amazon","CHELTENHAM","GLOUCESTERSHIRE","GL52 9","MarketplaceFacilitator","11.82","2.37","0","0","0","0","-1.18","-0.24","-2.13","-1.66","-3.15","-0.09","0","5.74"
